tokenAddress,name,symbol,logo,decimals,priceNative,priceUsd,liquidity,fullyDilutedValuation,createdAt,age_minutes,trackable
UnhmU78BgMfjeZKcJgjaB29c2GU9S8GcV7oXGTppump,老人,Old Man,,6,0.0000000279610,0.000004467,9586.89570727,4467,2025-06-03T07:28:06.000Z,6.7,True
EyNt9sApzKdLLkt8hY2frvJii2LQ1UdXabDwmbspump,one more holder,+1,,6,0.0000000279704,0.000004470,9592.60274323,4470,2025-06-03T07:28:05.000Z,6.8,True
3Weac7qGNcTkzx7SusZhzB8cUm2wav4yD5i2nGyupump,キツネっ,Foxdoge,,6,0.0000000288105,0.000004597,9718.33188071,4597,2025-06-03T07:28:05.000Z,6.8,True
CCzcJX6EKLaDqQGR6rQZeGMKaAsandTMdpHWoExopump,Treat This Like A PaperTrade,PaperCoin,,6,0.0000000279704,0.000004471,9593.982994938,4471,2025-06-03T07:28:04.000Z,6.8,True
FKfcAJJR1EiAzp7EPEXN9HWpqqEBtKnuSiWDndCHGo5G,Overwhelming Wealth Loading,OWL,,6,0.0000000280997,0.000004486,9603.478538014,4486,2025-06-03T07:27:59.000Z,6.9,True
B8tcu5hmjuipQucVdq7cy7kN45NQnuwTdJn9zVJGpump,More Apes,pe,,6,0.0000000305794,0.000004885,10025.571729918,4885,2025-06-03T07:27:53.000Z,7.0,True
G8fweATUBmP4GoseibygQRvYJyWHaWuw7e4LBtXTpump,Baby Chewbacca,RRRAWR,,6,0.0000000280913,0.000004484,9602.038540054,4484,2025-06-03T07:27:38.000Z,7.2,True
56mwCgvMCTwWrEiBid8bvumQze2FBYE6Wy7t1UgYpump,just eat 4 grams of uranium ,4 grams,,6,0.0000000281732,0.000004501,9624.469923236,4501,2025-06-03T07:27:30.000Z,7.3,True
Bapo6JYuLSYhPvj2B34veLo7xadeoUyMnhAAFCF3pump,No Promises,Guarantee,,6,0.0000000285465,0.000004562,9688.986841002,4562,2025-06-03T07:27:24.000Z,7.4,True
ByDXE5MGE5uTv8VRCQh6r91ajPwxmjTcWrcWCC68pump,Cats international association,CIA ,,6,0.0000000280970,0.000004485,9601.539730216,4485,2025-06-03T07:27:20.000Z,7.5,True
8UXLY7wxDTQ33gYdVxCS45dsqbtztjALRDi3pP2Npump,Bebe Gantu,Gantu,,6,0.0000000290388,0.000004635,9761.891957096,4635,2025-06-03T07:27:18.000Z,7.5,True
Him8MYBNeKssXq1zcsfmVp7kbmz8biACG2oq2vVkPump,Slimedog Stage 2,SDST2C,,6,0.0000000351371,0.000005616,10752.303336052,5616,2025-06-03T07:27:09.000Z,7.7,True
8iDX2GiE3fx6nLy9FToFvDc99WkAQNW2wMUQdEnJpump,I Will Take Over The Internet,Merg,,6,0.0000000288067,0.000004592,9710.431876644,4592,2025-06-03T07:27:07.000Z,7.7,True
1PZfb5XQjpiaAjvBbgU9K3uyCgMiethpyqQkCfk1Zna,sss,SSS,,6,0.0000000281291,0.000004484,9595.549285496,4484,2025-06-03T07:27:06.000Z,7.7,True
8bs5b9vpekfVvDi8McPkTGRiBxBpm5hTWnKQXje5pump,Sendor Or Bondor,SOB,,6,0.0000000279704,0.000004459,9568.440702982,4459,2025-06-03T07:27:03.000Z,7.8,True
2b1Re9th67ynYfR42PDTyU8KhALUCboe48yuGcycpump,Memecoin Labubu's,SOLABUBUS,,6,0.0000000315957,0.000005048,10190.812724724,5048,2025-06-03T07:27:01.000Z,7.8,True
JC45CpCff9NXdFPz6ZMSyE44jJ97M65US2thiJLApump,I See,Rabbit,,6,0.0000000279704,0.000004462,9574.468817412,4462,2025-06-03T07:27:00.000Z,7.8,True
74wuZT67bPgipmYShSmQvZMTGSj1HY2ZuyeNWcwApump,I See,Duck,,6,0.0000000279704,0.000004462,9574.468781354,4462,2025-06-03T07:26:53.000Z,8.0,True
FFXqFLy4pyqybFNFY1JNSanfpUp83b8wmz3AcKkPpump,Gamerpics ,Gamerpics,,6,0.0000000279704,0.000004463,9576.398664938,4463,2025-06-03T07:26:48.000Z,8.0,True
2RxyuypiqGio69wbhn5fUMZjTU2vp6Uuu4ictejzpump,all at once,slowly,,6,0.0000000280645,0.000004482,9602.282804012,4482,2025-06-03T07:26:30.000Z,8.3,True
4JELW7QwPDEqSqAmW5bFiipfKLLYgDPX8JNihdwDpump,how to make 100x,plan,,6,0.0000000296476,0.000004740,9879.71788771,4740,2025-06-03T07:26:22.000Z,8.5,True
9fjZWKxfK6fMyp5MbNU4SEByAyW8rzEaHs8gQnMVpump,coke mouse,cm,,6,0.0000000279704,0.000004462,9575.124404374,4462,2025-06-03T07:26:15.000Z,8.6,True
EzRTYC7QqrRhkZzt3ENQ8u8pmetfqrsXvaVo2Aq1pump,hat,hat,,6,0.0000000279704,0.000004462,9575.124389696,4462,2025-06-03T07:26:14.000Z,8.6,True
D4T7RnGK5Ur2cAbr7pCNAxgmCDVj3raLATjNoK8Ypump, 老人,Grandpa,,6,0.0000000283313,0.000004521,9638.150232158,4521,2025-06-03T07:26:11.000Z,8.7,True
BczcvZxErkob6318YnjcqhpcybtMoMJaFj33TWRHpump,Lottery,Lottery,,6,0.0000000413259,0.000006608,11664.902908296,6608,2025-06-03T07:26:07.000Z,8.7,True
